feature,mean_importance
GATS3se,-2.107563559144267e-05
SddsN,-8.408064204702171e-06
SIC0,-7.774166013275325e-06
eluent.A.nh4form,-7.631649994858762e-06
MATS3i,-7.300971388127242e-06
CIC2,-6.956921610054827e-06
ATSC4m,-6.926704756541648e-06
AXp-2dv,-6.561019834795331e-06
ATSC2p,-6.560945883308817e-06
ATSC1m,-6.430680295386147e-06
piPC6,-6.427866714597569e-06
ATS7se,-6.3258510143969665e-06
C3SP3,-5.752447387031342e-06
TIC2,-5.62506755454658e-06
ATS6p,-5.5581390309910985e-06
ATSC7are,-5.085939867245735e-06
MIC2,-5.084608460291951e-06
ATS4p,-4.989761655625411e-06
BalabanJ,-4.857394127768568e-06
ATSC5se,-4.813703992373204e-06
MPC2,-4.349961120700668e-06
AATS3d,-4.118090601646067e-06
MATS2d,-4.069774800818937e-06
ATS4m,-4.012287052817132e-06
TopoShapeIndex,-3.7302223754999246e-06
ZMIC5,-3.728522906732215e-06
GATS1i,-3.709260784097359e-06
GGI7,-3.6847742658129013e-06
ATS6pe,-3.545485652814342e-06
MWC07,-3.51185364980992e-06
IC3,-3.508636368159887e-06
AATSC0Z,-3.5040522362438964e-06
ATS1dv,-3.346831253434046e-06
Xch-6d,-3.3437362585548268e-06
ATSC1Z,-3.316410087100211e-06
AATS3pe,-3.229420472032618e-06
AATSC3p,-3.19627321159156e-06
ATS2pe,-3.080323312117279e-06
TIC3,-2.9547170279175737e-06
ATS2Z,-2.783303428923172e-06
MWC05,-2.6499449981909515e-06
ATS3p,-2.6367083606214197e-06
Xpc-4dv,-2.614530222032601e-06
n9FAHRing,-2.476550693714455e-06
ATSC0d,-2.4391870096730253e-06
ATS0d,-2.357538137583593e-06
Si,-2.304379884514405e-06
nBondsKD,-2.288324835024273e-06
ATS6v,-2.2667998041892705e-06
MPC9,-2.216020752086618e-06
ATS3se,-2.1276714763878054e-06
GATS1p,-2.1009359106669534e-06
ATSC8se,-2.086761859927851e-06
ATS8se,-1.905409595932394e-06
nHBAcc,-1.9038744536198186e-06
Radius,-1.869538062019161e-06
MIC4,-1.8137896706287882e-06
Xch-3d,-1.8061750847585267e-06
ATS6dv,-1.746526586971723e-06
Xpc-4d,-1.7087129195884725e-06
ATS7i,-1.679186778231947e-06
mZagreb2,-1.626873766152545e-06
Sare,-1.6223791205400781e-06
nRot,-1.569770212369627e-06
Mv,-1.448701945597989e-06
NaaaC,-1.4346713817519133e-06
ATS4v,-1.4089116235614131e-06
