feature,mean_importance
AATS2m,-1.4487577020735279e-05
ATSC8dv,-1.2811222419382203e-05
MATS4d,-1.1083760075385977e-05
ATSC8Z,-9.791863392425749e-06
ATS8Z,-9.172973093611245e-06
SdO,-8.844118197328614e-06
AATS3i,-8.622583278670124e-06
ATSC4d,-8.501362313595354e-06
IC2,-8.319689431692585e-06
ATSC5i,-8.304714267501865e-06
GATS3are,-8.166243100994966e-06
AATSC2v,-7.606096983998629e-06
GATS3v,-7.5846789458653904e-06
AATS1Z,-7.111988127883606e-06
AATS4Z,-7.084664716183741e-06
JGI5,-7.023468156938228e-06
ATSC5d,-6.937057112230832e-06
ATS6dv,-6.883953772544773e-06
CIC3,-6.6133270795667476e-06
GATS4pe,-5.889526545609612e-06
MATS2are,-5.872565634425317e-06
RotRatio,-5.870706164158058e-06
AATS3pe,-5.667180540212813e-06
nRot,-5.558428090144188e-06
SssCH2,-5.404427795656537e-06
Xpc-4d,-5.395667319939811e-06
ATS3pe,-5.293717759068898e-06
ECIndex,-5.20649722043397e-06
AATSC0d,-5.179964247312499e-06
IC0,-5.151287829743313e-06
bpol,-5.105954162638957e-06
AATS1d,-4.691816117913424e-06
Mp,-4.490583668784708e-06
AATS3m,-4.485275193202246e-06
ATSC4p,-4.359906261138923e-06
TIC5,-4.340315650687866e-06
MWC08,-4.311482432918079e-06
AATS2se,-4.285474082586609e-06
MATS2d,-4.230324364478278e-06
Xch-6dv,-4.118948993577215e-06
PEOE_VSA11,-4.009923927821707e-06
ATSC6p,-3.986154591103987e-06
Xp-1dv,-3.937808489407231e-06
ATS7dv,-3.890316564795701e-06
AATS4dv,-3.8885917683482814e-06
ATSC5Z,-3.866443695925426e-06
AATS1pe,-3.6995481267813534e-06
MATS4Z,-3.671106504061789e-06
ATS7Z,-3.6574182839357523e-06
ATSC6d,-3.6286276738578193e-06
BalabanJ,-3.4964383480217373e-06
NdssC,-3.2836385077797402e-06
ATS5dv,-3.155141910943411e-06
SRW07,-3.1417941219711274e-06
n9FRing,-3.132704166910593e-06
ATS5m,-3.0342208841407752e-06
ATS1pe,-3.0128351422209833e-06
Diameter,-2.947056423873145e-06
MIC5,-2.8933350634478133e-06
MATS1m,-2.847161628416386e-06
ATSC0dv,-2.7712008361364603e-06
MWC02,-2.7636163862335313e-06
ATSC7se,-2.7550309966118196e-06
GATS1se,-2.7341978787238063e-06
GGI8,-2.6942561125343522e-06
MATS4v,-2.685702442534535e-06
MATS4p,-2.677259248719862e-06
MATS3m,-2.671251613400264e-06
AATS1m,-2.645141596912745e-06
AATSC1se,-2.6167278898717173e-06
Radius,-2.6128861604728796e-06
ATS4d,-2.6065245587946277e-06
PEOE_VSA10,-2.6015231236018073e-06
MATS3d,-2.500838214051105e-06
AATS4p,-2.4805720407249618e-06
n10FARing,-2.4747600353633437e-06
ATS7d,-2.423741026805551e-06
ATSC7pe,-2.415523058915594e-06
ATS3v,-2.4088190168733427e-06
ATS1p,-2.350838628598518e-06
MATS4dv,-2.3482212740981966e-06
ABC,-2.3398655582942093e-06
MIC3,-2.332802440277882e-06
ATS8d,-2.319505618740385e-06
SsCl,-2.210977925092179e-06
AATSC4v,-2.1858513833912518e-06
GATS3p,-2.1615273807025666e-06
C2SP3,-2.1426269793684527e-06
AATS3v,-2.1206765686416355e-06
MATS4i,-2.0851666498097715e-06
Xch-5dv,-2.0439999308645083e-06
n5HRing,-2.0371311714592435e-06
GATS4v,-2.034440975121326e-06
MATS4are,-2.000613835687927e-06
Kier1,-1.9925264051555423e-06
Xc-5dv,-1.974022017935291e-06
MATS3v,-1.8870031840480598e-06
AATSC2Z,-1.8631008111389889e-06
ATSC0m,-1.8206487476234504e-06
eluent.B.nh4form,-1.8183818058539053e-06
AATSC4d,-1.7411487210388515e-06
MW,-1.7053696603517438e-06
JGI6,-1.6911860941345655e-06
ATS7v,-1.6637736176675945e-06
SddssS,-1.6610662425939859e-06
ATSC7dv,-1.633547590355975e-06
Xc-4d,-1.6225447013617015e-06
Si,-1.544468981652409e-06
AATS0Z,-1.504929116488956e-06
AATSC3p,-1.4935862517926646e-06
ATS1Z,-1.4811287295898867e-06
MWC05,-1.4720968077230542e-06
ATS8v,-1.4582363145462449e-06
WPath,-1.4558674317476442e-06
NsOH,-1.433137949722902e-06
IC3,-1.3971326043035227e-06
SlogP_VSA6,-1.3915577216373417e-06
IC4,-1.386436055455121e-06
n6HRing,-1.3703174778253828e-06
ZMIC0,-1.3488497493013668e-06
ATSC7v,-1.3479085672870109e-06
mZagreb2,-1.3238160010754264e-06
AXp-2d,-1.286107481942439e-06
SRW04,-1.2756262804447526e-06
JGI4,-1.2734828719552539e-06
SIC3,-1.2454471875500765e-06
ATS4dv,-1.2193663985431493e-06
ATS2are,-1.1923586600937585e-06
TIC4,-1.1893449591454143e-06
n10FHRing,-1.1864275701243405e-06
MATS4pe,-1.1731678326628442e-06
ATSC7i,-1.1658102680494643e-06
ATSC8are,-1.1487800643134386e-06
GGI7,-1.1327210011373955e-06
TIC1,-1.0513029229428961e-06
MATS1d,-1.0414617744642155e-06
Mare,-1.0264293475291223e-06
SZ,-1.0201897048360553e-06
ATSC6pe,-1.013332267500635e-06
NaaaC,-9.721699388282392e-07
Xp-6dv,-9.520365096988073e-07
nBondsD,-9.333108012426518e-07
Xc-6d,-9.3081769089896e-07
ATSC6dv,-9.220311457495099e-07
Sse,-9.106114321933908e-07
GATS4m,-8.968296045079767e-07
AATSC1Z,-8.699792981202436e-07
SssssN,-8.448829694663977e-07
Xp-1d,-8.211494412936095e-07
TSRW10,-8.057623787901224e-07
Sv,-7.713154738352677e-07
nFARing,-7.443059876059178e-07
n8FRing,-7.339065433059448e-07
AATSC4i,-7.239916265578198e-07
NdCH2,-7.236594630685711e-07
AATSC4pe,-7.211544340495445e-07
TpiPC10,-7.179150281092644e-07
LabuteASA,-6.9020414364988e-07
StN,-6.836019486825864e-07
SRW05,-6.445477665828654e-07
nFaRing,-6.438700418332811e-07
nAtom,-6.385266206222242e-07
ATS4Z,-6.383044259503611e-07
nSpiro,-6.374063806598857e-07
MPC4,-6.338860793960246e-07
ATSC8v,-6.178464953821017e-07
JGI10,-6.173884996314889e-07
ATS2dv,-5.971408744274986e-07
NaasC,-5.942232367435289e-07
ATSC7m,-5.881467452839573e-07
ABCGG,-5.486341331174122e-07
AATSC4p,-5.461809436091945e-07
ATS1i,-5.40515369738901e-07
MIC4,-5.222166429048533e-07
SsBr,-5.1431715531354e-07
nFRing,-5.081671824345817e-07
TIC3,-5.020914522929285e-07
n6ARing,-4.628665125524546e-07
ATS6i,-4.5561052145889553e-07
ATSC5m,-4.4602532217894244e-07
Xp-4dv,-4.2787724892634494e-07
ATSC4Z,-4.163151145841239e-07
ATS4are,-4.141879870109104e-07
IC5,-3.962130984321195e-07
ATSC0are,-3.874793689405062e-07
MPC2,-3.710581636948325e-07
NaaNH,-3.690539604598621e-07
GGI1,-3.529293464665274e-07
nF,-3.275004750740232e-07
n6AHRing,-3.083551831835514e-07
ZMIC5,-3.0590468643558464e-07
n9FaRing,-3.0475034052800803e-07
Xp-3d,-3.002092062194886e-07
SdNH,-2.9700696820835967e-07
ATS6pe,-2.884756386887892e-07
TIC2,-2.8064343198953153e-07
NdS,-2.79659542098791e-07
AATS4i,-2.7688828806420734e-07
ATS7se,-2.702733739596251e-07
ATS1m,-2.657426688030054e-07
nBondsA,-2.5590872301337745e-07
GGI10,-2.4098866446206623e-07
WPol,-2.2855551010635133e-07
GGI3,-2.0728407124281574e-07
nHeavyAtom,-2.0653630848884232e-07
ATS3m,-1.8695748135125895e-07
GGI9,-1.8460888209694687e-07
ATS7are,-1.6620292748450657e-07
ATS8are,-1.6138709544588626e-07
AATSC4Z,-1.6065442156260394e-07
ATS0d,-1.594131065727443e-07
C2SP1,-1.542549278285392e-07
Xc-4dv,-1.477812743178042e-07
GATS4se,-1.4280132894905344e-07
ATS2d,-1.3289773579030357e-07
ATS5are,-1.3042315345863573e-07
n6aRing,-1.2894608107947083e-07
nFHRing,-1.2655471919109997e-07
nG12FAHRing,-1.1604099033534973e-07
SaaO,-1.1484884763430028e-07
ATSC0v,-1.0484364410395797e-07
ATSC6m,-9.429942347469189e-08
NssNH,-8.487006829460339e-08
ATS5d,-8.053674856161458e-08
SaaS,-7.796778899683485e-08
Spe,-7.792745722965538e-08
NddssS,-7.634469531290002e-08
SRW10,-6.919389331817849e-08
nBonds,-6.218516178371422e-08
nG12HRing,-6.038269932855459e-08
Xch-4d,-5.51493105565605e-08
AATS0m,-5.4405829716906716e-08
SMR_VSA2,-5.436347050181284e-08
ATS0i,-5.2732415053990954e-08
nBondsO,-3.3401418745009764e-08
nFaHRing,-2.66676222784e-08
n3HRing,-2.1566654543909296e-08
Xpc-5dv,-1.4537610924878624e-08
nCl,-1.1326401497431527e-08
n11FAHRing,-1.051284568556396e-08
n8FARing,-9.628400711447772e-09
ATS0Z,-5.266792399948039e-09
ATS1se,-2.134572503042359e-09
nG12ARing,-2.0445824802303726e-09
Zagreb2,-1.7217507592391657e-09
C1SP1,-1.090152230119601e-09
SsssNH,0.0
SddC,0.0
SsNH3,0.0
SsssB,0.0
NsI,0.0
SssNH2,0.0
eluent.A.nh4f,0.0
n6FARing,0.0
SssssSi,0.0
SsssP,0.0
NssssSn,0.0
SssSe,0.0
SaaSe,0.0
SssssSn,0.0
n6FHRing,0.0
n5FARing,0.0
n12FaHRing,0.0
n9FaHRing,0.0
n7FARing,0.0
NsBr,0.0
n12FARing,0.0
NssSe,0.0
SRW03,0.0
SRW02,0.0
MWC01,0.0
VAdjMat,0.0
Zagreb1,0.0
nB,0.0
n12FAHRing,0.0
NsssB,0.0
NtCH,0.0
NddC,0.0
NtsC,0.0
NaaSe,0.0
NsNH3,0.0
NdNH,0.0
eluent.B.iproh,0.0
n7FAHRing,0.0
NsssNH,0.0
NsF,0.0
NssssSi,0.0
NsssP,0.0
NdsssP,0.0
n6FAHRing,0.0
NssS,0.0
NsCl,0.0
NssNH2,0.0
n8FaHRing,0.0
n7FHRing,0.0
eluent.A.iproh,0.0
nI,0.0
n7aRing,0.0
nG12aRing,0.0
nG12aHRing,0.0
n3ARing,0.0
n4ARing,0.0
eluent.A.phosphor,0.0
n8ARing,0.0
n9ARing,0.0
n10ARing,0.0
n11ARing,0.0
n4aRing,0.0
n12ARing,0.0
n4AHRing,0.0
n7AHRing,0.0
n8AHRing,0.0
n9AHRing,0.0
n10AHRing,0.0
n11AHRing,0.0
n12AHRing,0.0
nG12AHRing,0.0
n5FRing,0.0
n6FRing,0.0
n12FRing,0.0
n3AHRing,0.0
n12HRing,0.0
SsI,0.0
n8Ring,0.0
n9Ring,0.0
n10Ring,0.0
n11Ring,0.0
n12Ring,0.0
n11FaRing,0.0
n3Ring,0.0
n8FaRing,0.0
n11HRing,0.0
n12FaRing,0.0
n8HRing,0.0
n9HRing,0.0
n10HRing,0.0
n4HRing,0.0
nP,8.540462843875663e-10
StCH,1.7293667269914493e-09
nG12Ring,2.9634461328441332e-09
NsSH,5.00683790738074e-09
nBondsT,7.763315745725612e-09
ATSC6are,9.650112248443116e-09
nH,1.030559063199335e-08
NddsN,1.031999246337012e-08
n12FHRing,1.1075469758762418e-08
eluent.B.acetone,1.519247200074819e-08
nBr,1.8597250570594194e-08
apol,1.8607053881708467e-08
NsNH2,2.058980696139842e-08
nRing,2.4950325760129954e-08
ATS1are,2.7991608395842164e-08
n8FAHRing,3.3987247966861535e-08
MPC5,3.6436506124521564e-08
MWC04,3.730049224588347e-08
nG12FaRing,3.917283011630607e-08
eluent.B.acetic,3.944638469755013e-08
n5ARing,4.0617275401996084e-08
n7FRing,5.480598037638923e-08
MPC10,5.584512948195522e-08
ATSC6i,5.750478556960231e-08
n8FHRing,5.9545745484737564e-08
NdO,6.043695509735589e-08
n4Ring,6.354686336905793e-08
MWC06,7.317553164356074e-08
n9FARing,7.821778425440296e-08
eluent.B.trifluoroacetic,8.023173910338619e-08
NssssN,8.143994092045179e-08
AATS3are,8.543416467419324e-08
SsSH,9.649263003957617e-08
SdCH2,1.219533677527737e-07
ATS0se,1.225014666090922e-07
n5AHRing,1.2265190873113342e-07
ATS4pe,1.286689291500262e-07
SMR_VSA4,1.3631471463696267e-07
ATSC1p,1.5776368834027888e-07
PEOE_VSA9,1.599340757165238e-07
n5Ring,1.609691644309172e-07
ATS0v,1.6154027818399488e-07
nG12FHRing,1.7092342072316456e-07
MIC1,1.894979282063107e-07
NtN,1.9010729145523332e-07
MWC07,1.9951320005973798e-07
NaaS,2.139352742683981e-07
n9FAHRing,2.1859469155139158e-07
MWC03,2.2945489026090365e-07
ATS5v,2.3584293168182544e-07
ATSC0d,2.370150524686268e-07
JGT10,2.488942056801634e-07
n11FHRing,2.5773976757422977e-07
AATS3Z,2.5810727295001376e-07
nG12FaHRing,2.6134919701896813e-07
ATS6m,2.6995677051807124e-07
n11FRing,2.844941212642657e-07
ATS3p,3.2284023473976713e-07
n10FAHRing,3.234130532113293e-07
C4SP3,3.4308590724204185e-07
nARing,3.50179022477054e-07
PetitjeanIndex,3.6068112946111006e-07
Xc-6dv,3.767535501019402e-07
n9FHRing,3.773089906729081e-07
Xch-4dv,3.9517480965312046e-07
SlogP_VSA8,3.9786903285720516e-07
Sm,4.014134813142521e-07
ATS5Z,4.121561259893755e-07
NdsN,4.2083056088805524e-07
ATS6v,4.2158363911283523e-07
n6Ring,4.2216714379351983e-07
SRW08,4.717241650365953e-07
ATS2se,4.854507592908993e-07
NaasN,4.880955273160563e-07
nHBAcc,4.946555121401567e-07
ATS7pe,4.981148863028931e-07
ATS4p,4.986130413714776e-07
n7ARing,5.178624967214045e-07
ATSC3Z,5.189817806838803e-07
MATS3pe,5.207165032762758e-07
SlogP_VSA7,5.267153235357335e-07
NaaO,5.277137007520492e-07
n7HRing,5.372987649393709e-07
