feature,mean_importance
ZMIC1,-2.3404142839507544e-05
SdO,-1.647888796019476e-05
ATSC7dv,-1.5239355723730992e-05
SlogP_VSA3,-1.3078318334195596e-05
ATSC6v,-1.3007208512917472e-05
ATSC7Z,-1.2615680920908829e-05
ATSC6m,-1.1452569304651068e-05
Diameter,-1.0604235362381142e-05
PEOE_VSA10,-1.0595571261102187e-05
ATS6d,-1.056378961874797e-05
AATS2m,-1.0127464768933981e-05
Xc-3dv,-9.69287349254222e-06
ATS8Z,-8.914967221708338e-06
GATS3p,-8.692240368142912e-06
ATSC7are,-8.595276027566125e-06
ATSC8pe,-8.366264046033144e-06
ATS7v,-8.322817450906374e-06
ATSC6d,-8.317350149571276e-06
ATSC6se,-8.146747165277586e-06
JGI6,-7.730072750208437e-06
AATS4Z,-7.474372280941079e-06
ATSC8d,-6.8378379425883954e-06
AATSC3p,-6.834736544747161e-06
RotRatio,-6.692401428355123e-06
SsNH2,-6.567687991491673e-06
AATS4m,-6.120278405120916e-06
GATS4pe,-5.9309136540345446e-06
MIC3,-5.853883623518127e-06
ATS6v,-5.788068142568819e-06
AATSC4i,-5.7573656619043855e-06
ATSC0se,-5.300034854459346e-06
MATS1i,-5.294467701024135e-06
GATS2se,-5.2392929187400695e-06
AATSC4v,-5.132883486641017e-06
ATSC6Z,-5.082437968576513e-06
AATSC4dv,-4.8412827468230505e-06
ATSC7m,-4.822172447431928e-06
bpol,-4.768473177848252e-06
MATS4dv,-4.740977890774992e-06
ATS7se,-4.695154989550754e-06
ATS1i,-4.515787187473526e-06
SssCH2,-4.397655652636865e-06
ATSC0dv,-4.307944161306438e-06
EState_VSA3,-4.187432270945975e-06
GATS4Z,-4.038918688699898e-06
ATSC6pe,-4.0248541610984035e-06
MATS4p,-4.011775814659248e-06
C3SP2,-3.9423902749641766e-06
AATSC2v,-3.7658022892935255e-06
ATSC5i,-3.7399143637767937e-06
GGI5,-3.6598197453901853e-06
CIC3,-3.642912024106465e-06
TIC4,-3.6336770715715736e-06
ATSC2p,-3.6304221151828645e-06
ATS6m,-3.6040571154710536e-06
JGI4,-3.595511188767605e-06
GATS4are,-3.5582048178603615e-06
ATS5dv,-3.452264728063658e-06
SMR_VSA1,-3.4153767795344974e-06
GGI9,-3.3567110096024285e-06
MATS2se,-3.3301601422365373e-06
GGI7,-3.288344597921454e-06
PEOE_VSA2,-3.2626703922618986e-06
MIC4,-3.231352147243117e-06
Xp-6dv,-3.0952428339322236e-06
nRot,-3.062326513875776e-06
n5aHRing,-3.0331587582095586e-06
JGI9,-3.032000987743342e-06
ATSC0Z,-3.0189548671902094e-06
MATS4v,-2.961355595086559e-06
ATSC0m,-2.949691420047352e-06
JGI8,-2.9146961390033414e-06
Xpc-6dv,-2.876257287772518e-06
ATS0dv,-2.835855711988758e-06
GGI3,-2.7995614917187757e-06
BIC5,-2.7722381548992043e-06
AATSC4p,-2.693537708741648e-06
MATS3m,-2.692499969705192e-06
ATS7d,-2.6648149010466936e-06
ATSC4d,-2.6343851397049937e-06
piPC9,-2.5665123760541113e-06
AATS2are,-2.5606719469042568e-06
GATS2v,-2.5238820767559298e-06
ATS0v,-2.5083184593635914e-06
ATSC8m,-2.4789204240186284e-06
GATS3i,-2.4541386810622916e-06
MATS3v,-2.4525348224067703e-06
ATSC8dv,-2.2802593634596925e-06
AATS0se,-2.252877725193985e-06
AATS0pe,-2.2399575145721182e-06
SLogP_sum_piPC1,-2.223670796352214e-06
MATS4pe,-2.206063366468319e-06
AATSC4pe,-2.157676967518788e-06
nAtom,-2.1573566565079997e-06
SLogP_multiply_steric selectivity,-2.1374210872221814e-06
VSA_EState3,-2.1014490676066375e-06
Xp-7dv,-2.086682070431313e-06
ATSC5v,-2.0625511592608365e-06
AATS0m,-2.0524187281587003e-06
SLogP_sum_AATSC0p,-2.0463095863425783e-06
AATS1v,-2.031876161879935e-06
BIC0,-2.003691843846869e-06
GATS2v_diff_SLogP,-2.001200005404685e-06
n6Ring,-1.9930164891373593e-06
ATS2se,-1.969830050515663e-06
TIC2,-1.9483188994329563e-06
ATSC7v,-1.8924017591389308e-06
nBondsD,-1.876454349553948e-06
SZ,-1.8568046892583623e-06
ATS1p,-1.8066590553841682e-06
AATS0dv,-1.7949503332539452e-06
n6ARing,-1.7594185894830896e-06
JGI7,-1.7302553404146582e-06
Xp-4d,-1.7228034729388845e-06
ATS3pe,-1.7090328816403779e-06
SLogP_multiply_AXp-1dv,-1.6899994677133968e-06
BIC0_diff_SLogP,-1.6785334926567447e-06
MATS4d,-1.6742456240857738e-06
GATS4d,-1.633103658527004e-06
ATS5d,-1.6251820530405019e-06
AATS2Z,-1.6159758461330165e-06
nHBAcc,-1.5547811011528203e-06
AXp-1d,-1.5465208202437158e-06
piPC2,-1.4916626793309331e-06
ATS4m,-1.438953395777303e-06
n8FRing,-1.426378683316333e-06
VSA_EState2,-1.4220704959987638e-06
VMcGowan,-1.417374313111841e-06
GGI8_sum_SLogP,-1.4042104227683476e-06
Mpe,-1.4028333826819616e-06
IC1,-1.383646103531727e-06
Kier1,-1.378952021334045e-06
SLogP_ratio_MWC07,-1.3628878448937628e-06
ATS2dv,-1.354382212878473e-06
ATS2pe,-1.3184347595276633e-06
Sm,-1.3063320024938631e-06
ATS5are,-1.2536466759855217e-06
GGI8,-1.2387463161440612e-06
ATSC0i,-1.2047351319862364e-06
ATS7Z,-1.177069560018805e-06
MWC05,-1.164009199263686e-06
nX,-1.1401049507707255e-06
ATSC7i,-1.1394100059304232e-06
IC0,-1.122933001022463e-06
SLogP_ratio_AATS1pe,-1.0890820433416027e-06
AATS0v,-1.0864789223019589e-06
AATSC3Z,-1.0855398569047277e-06
Xp-1dv,-1.0621602766639274e-06
SsBr,-1.0378083955498926e-06
nFRing,-1.007600236267031e-06
ZMIC4,-9.95516859815873e-07
nBondsKS,-9.783899887884883e-07
TSRW10,-9.699531527038695e-07
SIC4,-9.695985472372644e-07
TpiPC10,-9.448799638062805e-07
ATS6p,-9.346016480168279e-07
ATS3p,-9.26730435496341e-07
SLogP_sum_AATSC0pe,-9.157724775553897e-07
SLogP_sum_MATS2d,-9.091734936854563e-07
AATSC4d,-8.873981732421439e-07
MATS4m,-8.802208018630561e-07
JGI10,-8.749298195761222e-07
ATS3d,-8.66539011388015e-07
MATS1d,-8.326047196562103e-07
CIC4,-8.163810648327378e-07
SRW08,-8.03166951470792e-07
nHeavyAtom,-7.807313336390121e-07
MPC5,-7.68837349240676e-07
ECIndex,-7.629788871562141e-07
MWC03,-7.51134391390948e-07
ZMIC2,-7.435532232192426e-07
ATS8m,-7.304969174648165e-07
ATSC8Z,-7.142456167175127e-07
ATS6Z,-7.133281732334823e-07
AATSC4m,-6.509964498226106e-07
SdNH,-6.038274850662072e-07
AXp-2d,-6.011734532736062e-07
nFHRing,-5.991618454168415e-07
AATS0are,-5.936081611857685e-07
ATSC4Z,-5.893086532129422e-07
n5HRing,-5.588992544631501e-07
ATS0are,-5.557978413532269e-07
WPol,-5.539283467379495e-07
MIC1,-5.487255006741618e-07
ATS6are,-5.455711083397589e-07
SRW05,-5.251405159724734e-07
Xc-6d,-5.151046226810688e-07
AATS4i,-5.103253451488321e-07
MPC10,-5.068373194032535e-07
NaaS,-4.94166898005327e-07
SaaO,-4.853705578319704e-07
NddssS,-4.5503916523718587e-07
AMW,-4.514689948837379e-07
Xc-4d,-4.413349421560249e-07
SLogP_ratio_AATS1se,-4.3238349744624887e-07
ATS3v,-4.11586723240466e-07
ATSC4m,-4.082058591317432e-07
n8FARing,-4.032456421295891e-07
piPC3,-3.9398385511344587e-07
SlogP_VSA7,-3.835308380061714e-07
ATS0i,-3.789296868767986e-07
ATS1v,-3.660879975549841e-07
Xp-5dv,-3.6017291276850897e-07
NdsN,-3.541099671632193e-07
PEOE_VSA3,-3.4798359622514876e-07
SIC3_diff_SLogP,-3.476161125161477e-07
Xp-1d,-3.4104676956510023e-07
GATS2m,-3.346890766972761e-07
SaaS,-3.248132823438846e-07
MWC04,-3.190998042137787e-07
AATS1are,-3.072714300544725e-07
GGI10,-2.867608067166211e-07
AATSC4Z,-2.854025193398634e-07
ATSC3p,-2.851394570774386e-07
SLogP_sum_MATS3Z,-2.828358925657283e-07
nBondsO,-2.8212707839344113e-07
nARing,-2.6712541879633097e-07
MWC02,-2.6207916512697645e-07
Xch-5d,-2.5937800969526996e-07
MWC08,-2.565283969700564e-07
GGI6,-2.552477205304202e-07
n9FARing,-2.5143293238558477e-07
MZ,-2.5100899561222507e-07
GATS3d,-2.4505467098442575e-07
Mm,-2.168880491528087e-07
Xpc-4dv,-2.1627436771537097e-07
nHRing,-2.1196835015991483e-07
SLogP_sum_AATSC1p,-2.0821210920413807e-07
ATS2m,-2.0255748367486308e-07
NaaaC,-1.879046748256945e-07
NdO,-1.7539006456068761e-07
TMWC10,-1.7456837059365294e-07
NaaNH,-1.670599054157465e-07
NdCH2,-1.6294685049505002e-07
SLogP_diff_eluent.B.formic,-1.4328484614590727e-07
ATS4se,-1.4036392050531185e-07
MWC06,-1.3265455557692417e-07
ATS2v,-1.3036170210985188e-07
nCl,-1.2794288612632057e-07
Sse,-1.25844980389863e-07
Spe,-1.2165574141791147e-07
SRW07,-1.2158070481754074e-07
nBr,-1.1825741543956478e-07
AATSC1Z,-1.0439652032715255e-07
ATS5i,-9.031323439673972e-08
ATS4are,-8.69740372986573e-08
n7ARing,-8.630939647216728e-08
nG12FaHRing,-8.510262718862058e-08
NsssN,-7.788291569782099e-08
MATS4Z,-7.68696270265351e-08
n6AHRing,-7.68388648116243e-08
NtsC,-7.206896506370061e-08
n10FARing,-6.452671319602879e-08
n4Ring,-6.378095542460687e-08
SLogP_sum_Xc-5dv,-5.6924879915376535e-08
MWC07,-5.537810106107099e-08
nBonds,-4.988608422445279e-08
AATSC2Z,-4.757730002165686e-08
n3HRing,-3.8842550433015877e-08
BIC2_diff_SLogP,-3.313262957067159e-08
nG12FaRing,-3.306015829316819e-08
NssssC,-3.0542910068633024e-08
AATS1se,-2.8778541303221134e-08
nP,-2.6107426076994038e-08
ATS2p,-2.1119235905833062e-08
NdssC,-1.803177586846144e-08
n5ARing,-1.7380243138003652e-08
nS,-9.6509790594064e-09
nSpiro,-8.204684182749888e-09
NssssN,-7.977729468179595e-09
nFAHRing,-6.358766098737978e-09
n9FHRing,-5.1220916327809896e-09
PetitjeanIndex,-1.323028132795695e-09
NsSH,-2.1371728562216696e-10
n12FHRing,0.0
n12AHRing,0.0
SsssNH,0.0
nG12AHRing,0.0
NdsssP,0.0
NsCl,0.0
n4HRing,0.0
SssssSi,0.0
n8FHRing,0.0
n7FHRing,0.0
n11Ring,0.0
n5FRing,0.0
n6FHRing,0.0
n12Ring,0.0
n6FRing,0.0
NddC,0.0
n10Ring,0.0
NaaSe,0.0
n3Ring,0.0
NssssSn,0.0
n10AHRing,0.0
n11ARing,0.0
n8Ring,0.0
n10ARing,0.0
SssSe,0.0
SddC,0.0
n9ARing,0.0
NsssNH,0.0
nG12aRing,0.0
naRing,0.0
n8ARing,0.0
n4ARing,0.0
StCH,0.0
SsI,0.0
SssssSn,0.0
n4aRing,0.0
NdNH,0.0
SsssB,0.0
NssNH2,0.0
SsssP,0.0
NsNH3,0.0
NsI,0.0
n3ARing,0.0
n11AHRing,0.0
n12ARing,0.0
n12HRing,0.0
n8HRing,0.0
n9AHRing,0.0
NsssP,0.0
NssssSi,0.0
n9HRing,0.0
n8AHRing,0.0
NtCH,0.0
n7AHRing,0.0
nG12aHRing,0.0
NsF,0.0
n7aRing,0.0
NsssB,0.0
n4AHRing,0.0
SaaSe,0.0
SssNH2,0.0
nG12ARing,0.0
n9Ring,0.0
SsNH3,0.0
n10HRing,0.0
n11HRing,0.0
SLogP_sum_nG12AHRing,0.0
nG12HRing,0.0
NssSe,0.0
nRing,0.0
eluent.A.phosphor,0.0
eluent.A.iproh,0.0
n5FARing,0.0
n6FARing,0.0
n12FaHRing,0.0
Zagreb2,0.0
Zagreb1,0.0
n12FARing,0.0
n6FAHRing,0.0
n8FaHRing,0.0
n12FaRing,0.0
eluent.B.iproh,0.0
SRW03,0.0
n11FaRing,0.0
n7FAHRing,0.0
n8FaRing,0.0
nI,0.0
n8FAHRing,0.0
nB,0.0
MWC01,0.0
VAdjMat,0.0
n11FAHRing,0.0
n12FAHRing,0.0
SRW02,0.0
SMR_VSA2,0.0
NsBr,2.566613267404594e-11
n3AHRing,5.041654025685072e-10
C2SP1,2.3875053482835807e-09
nG12Ring,2.7940430910762537e-09
n9FAHRing,9.875866202168488e-09
n12FRing,1.1373565432168386e-08
n9FaHRing,1.4329059565190011e-08
Lipinski,3.804625307154627e-08
nG12FAHRing,3.902606316623716e-08
ATSC3m,4.043149469164925e-08
nFaRing,4.122637424549408e-08
C4SP3,4.4302180518453885e-08
Xch-3dv,4.4433181705001715e-08
ATS0d,4.8135256820562575e-08
n7FARing,5.0435400135526856e-08
ATSC4p,5.85613185650688e-08
n7Ring,6.942139539837384e-08
NtN,7.177705619362124e-08
AATSC4are,7.689606440330204e-08
C1SP1,7.905481609130071e-08
nAromBond,8.296085482880841e-08
BalabanJ,8.894310152361001e-08
MATS4i,9.245878082675754e-08
C2SP2,9.740733718918356e-08
MATS3are,9.750451204553964e-08
MATS2m,9.924577428471054e-08
TopoShapeIndex,1.0292018559447669e-07
eluent.B.acetone,1.0683018851044903e-07
ATS4v,1.258316300510598e-07
GhoseFilter,1.272419890230303e-07
ATS1d,1.3129698475545377e-07
eluent.B.trifluoroacetic,1.3181401561880232e-07
nF,1.3315010380541766e-07
nBridgehead,1.3358586308277743e-07
SdsssP,1.3801303396891728e-07
n12ARing_diff_SLogP,1.3847862826285238e-07
NddsN,1.4374620882443706e-07
TMPC10,1.4953843673797332e-07
Si,1.5468078271929989e-07
AATS3d,1.5831579313306532e-07
MATS4are,1.7895659484273157e-07
n9FaRing,1.865257377118082e-07
AATSC3m,1.889619789430426e-07
n11FHRing,2.0153417999331514e-07
n11FRing,2.1171815402006716e-07
ATS0pe,2.155610708320932e-07
Xp-2dv,2.167457675708931e-07
ATS3i,2.1929536616130396e-07
ATS7dv,2.2423890821895999e-07
WPath,2.2452107441769953e-07
NsNH2,2.3928630681303507e-07
Mse,2.50383172145912e-07
ATS3are,2.526500473056317e-07
Xch-3d,2.565421398677617e-07
NaasN,2.6146459114291187e-07
ATSC4dv,2.6723188689750653e-07
AATSC2p,2.683626715871759e-07
nBondsA,2.7131796018044563e-07
SLogP_sum_Xch-6dv,2.838798113369463e-07
AATS2p,2.9564417015695563e-07
ATS8i,3.0252565880019634e-07
n7FRing,3.1760189571116217e-07
eluent.B.acetic,3.176431213844713e-07
MPC2,3.25389432843156e-07
ATS3Z,3.264572280379553e-07
ATSC8i,3.304585346571541e-07
Xch-4d,3.3871689981935724e-07
SsSH,3.5012135227979054e-07
n9FaHRing_diff_SLogP,3.569266965879232e-07
nBondsT,3.5784991416478936e-07
ATSC7p,3.641921954114155e-07
AATS1pe,3.6768348103876843e-07
Mare,3.842831434830267e-07
Xpc-4d,3.8459043801173864e-07
ATSC8are,3.949002563532339e-07
ATS3m,3.964209054381843e-07
ATS4dv,4.062280099435822e-07
n5aRing,4.126874256120752e-07
fragCpx,4.2688446873218044e-07
SLogP_sum_AATSC2p,4.410420183118165e-07
MATS1Z,4.541083892137428e-07
SLogP_sum_AXp-1dv,4.6399304416662805e-07
ATS5m,4.704102268910694e-07
Xch-4dv,4.856796278837269e-07
ATS7m,4.905486928612375e-07
SddsN,4.968030387150421e-07
NaaO,4.97307498313962e-07
AATS3i,5.076130320783371e-07
ATS6pe,5.239920141238141e-07
GATS3dv,5.290324325129061e-07
SRW04,5.504719451226818e-07
SIC5,5.711655870876964e-07
Radius,5.803196150159021e-07
nFaHRing,5.825222445957589e-07
Xc-4dv,5.975230491941582e-07
MPC4,6.080781565526161e-07
SLogP_sum_AATSC3se,6.172544374547645e-07
IC5,6.17359391633012e-07
nG12FHRing,6.234121273571841e-07
SRW06,6.248455305648582e-07
SLogP_sum_AATSC1d,6.259849709632295e-07
GATS3m,6.324645441324779e-07
SLogP,6.411464222133394e-07
ATS4Z,6.418682232636926e-07
eluent.A.nh4f,6.568569249787264e-07
n11FARing,6.568616702374262e-07
