feature,mean_importance
ATSC7v,-1.5095059610038905e-05
Xch-7d,-1.33840864109315e-05
MWC08,-1.1203478374399202e-05
SLogP_sum_AATSC0are,-9.94284941161893e-06
ATSC8v,-8.582941620951732e-06
ATS3dv,-8.27930638016318e-06
AATS1p,-7.502884654137648e-06
AATS1Z,-7.4988711204865626e-06
ATSC5p,-7.126800415305657e-06
PEOE_VSA9,-7.041427479808054e-06
GGI6,-6.725974717174729e-06
AATSC4p,-6.2944365701419345e-06
JGI2,-5.998060959887252e-06
ATS2Z,-5.636212619524079e-06
SssS,-5.504764464045551e-06
AATS4v,-5.3835340667897014e-06
GATS1m,-5.354412306273707e-06
ATS2d,-5.242518760919992e-06
ATSC0p,-5.2368950000867585e-06
Xp-7d,-5.230879442388783e-06
ATSC1Z,-5.191818943984031e-06
ATSC6p,-5.089240968219645e-06
ATSC6i,-5.058977087551466e-06
MATS2se,-4.746259477010541e-06
SLogP_multiply_GATS1d,-4.724500202811684e-06
ZMIC0,-4.5737962174546325e-06
ATSC4Z,-4.45382163270381e-06
MATS3d,-4.191918258417832e-06
AATS4pe,-4.107581124555924e-06
AATS1pe,-4.066913746871708e-06
MATS2pe,-3.973189208752396e-06
AATS2v,-3.8606633351807685e-06
Xch-6dv,-3.6252730229415635e-06
Mare,-3.543008631287474e-06
SddsN,-3.5331534349310884e-06
TSRW10,-3.448338241461048e-06
SLogP_sum_AATS4p,-3.445405764628592e-06
GGI10,-3.4165901693021526e-06
ATSC8Z,-3.389205513566404e-06
ATS2m,-3.37253418395524e-06
GATS2se,-3.3579044636163417e-06
ATSC3d,-3.3394489191097313e-06
Xp-4d,-3.303746991811275e-06
SLogP_sum_CIC1,-3.204144624078479e-06
n5HRing,-3.1942383231477014e-06
GATS4pe,-3.1677256075572994e-06
GATS4se,-3.1634121668455696e-06
C1SP3,-3.1563276579358452e-06
MWC07,-3.094957513648678e-06
ATSC6Z,-3.0887994070575263e-06
ATSC2d,-2.979658241089849e-06
ATS4d,-2.9736233226191657e-06
nFRing,-2.8941382474155856e-06
ATSC3pe,-2.8722660452966745e-06
ATS1Z,-2.778847321284212e-06
JGI10,-2.7472706987039832e-06
Sv,-2.7093550265921107e-06
AATS3se,-2.7073453884810667e-06
MIC3,-2.7042344201624357e-06
AATSC1m,-2.6957255457303077e-06
nX,-2.694344649129942e-06
ATS8d,-2.68487198866749e-06
nBondsD,-2.6445232135626633e-06
SdsCH,-2.5805652458009767e-06
SddssS,-2.5708441862935283e-06
ATSC6m,-2.5294224927960294e-06
piPC8,-2.466727339133813e-06
ATSC4are,-2.407668462211642e-06
BertzCT,-2.39068886848659e-06
nG12FAHRing,-2.203978241581677e-06
ATSC1pe,-2.20114447902018e-06
n5AHRing,-2.139254802912497e-06
GATS4v,-2.1220838173652627e-06
TIC5,-2.059380189747221e-06
n8FARing,-2.0250595882592703e-06
ATS0Z,-2.0113274105153927e-06
AXp-1d,-1.976509767986738e-06
ATSC0pe,-1.9720940904490584e-06
piPC1,-1.958656791294349e-06
TIC1,-1.952745860686004e-06
SLogP_sum_Xc-5d,-1.9370481107742513e-06
GATS1p,-1.9128593208486006e-06
AATS2se,-1.8797189843108332e-06
TMPC10,-1.8244302912795267e-06
MATS1d,-1.7597038881046225e-06
MATS4v,-1.7021790362022234e-06
SRW10,-1.6940455634136333e-06
SRW04,-1.6571213355276102e-06
MWC02_sum_SLogP,-1.6444469776013236e-06
AATS0Z,-1.5973184040489301e-06
MPC4,-1.572558959226679e-06
ABCGG,-1.5586199705670996e-06
EState_VSA2,-1.5565946495140446e-06
GATS1Z,-1.5193182573008077e-06
n9FARing,-1.482245758902944e-06
SssCH2,-1.450642299417621e-06
AATSC1d,-1.4467452132385997e-06
SssO,-1.4065070893511284e-06
LabuteASA,-1.40072083911957e-06
ATSC7i,-1.3828867252916635e-06
ATS3are,-1.3446922236092472e-06
SLogP_sum_MATS2v,-1.300272560538461e-06
WPol,-1.2601698927115941e-06
SlogP_VSA7,-1.2588939932113922e-06
ATS8i,-1.258016568874646e-06
VSA_EState8,-1.1626491829288925e-06
n4HRing,-1.1260122398079436e-06
Xch-6d,-1.1233150116017956e-06
WPath,-1.0960005964480607e-06
SRW07,-1.089762954943705e-06
Xp-1dv,-1.0341264910706735e-06
SZ,-1.0110786597124048e-06
nFaHRing,-1.0026031961775026e-06
AATS3are,-9.9284402603015e-07
naRing,-9.531741217522379e-07
SsBr,-9.372084503369258e-07
GATS1d,-9.337663499048125e-07
MPC6,-8.772452320747471e-07
ATSC6are,-8.392588494091427e-07
GATS2p,-8.349465042713048e-07
nHeavyAtom,-7.984094361332059e-07
n9FHRing,-7.970110991941705e-07
SMR,-7.857640581232159e-07
ATSC8i,-7.796001406379371e-07
JGT10_sum_SLogP,-7.573096534232299e-07
ATSC0dv,-7.546883977523761e-07
ATS1d,-7.352024728469672e-07
Kier1,-7.222548337761786e-07
n7Ring,-7.08864738712539e-07
GATS3are,-6.916487877089463e-07
MWC10,-6.559178117432861e-07
Xp-2d,-6.437503184263984e-07
GATS3m,-6.422707950027445e-07
SLogP_sum_Xch-6dv,-6.378946192374911e-07
nARing,-6.30408033726413e-07
ATSC0v,-6.233279822488551e-07
ATS1m,-6.066527179377293e-07
nBondsKD,-5.898912849036652e-07
n8FRing,-5.60624740969344e-07
ABC,-5.361767831646089e-07
Xc-5dv,-5.263515657248814e-07
NdssC,-5.255704437304512e-07
ATS8v,-5.173079290024876e-07
nG12FHRing,-4.7227242127847667e-07
ATS0dv,-4.691373465553865e-07
C4SP3,-4.593511662326008e-07
AATS2p,-4.5496452123388113e-07
ATSC5i,-4.513053886609844e-07
ATSC3Z,-4.5010735623676396e-07
AATSC4se,-4.161095906709579e-07
NdsCH,-3.7574779930054854e-07
SLogP_ratio_AATS1pe,-3.6742960236391467e-07
nFAHRing,-3.6457128302211024e-07
GATS2are,-3.60467321686847e-07
SaaS,-3.263065156818186e-07
nHBAcc,-3.160746496304323e-07
ATSC1se,-3.149340853676047e-07
SLogP,-2.912880406421257e-07
NsOH,-2.736882399512544e-07
n8FAHRing,-2.686682742513574e-07
ATSC1m,-2.503634853862242e-07
nSpiro,-2.426708222568949e-07
nG12FARing,-2.3057498945234026e-07
ATS7i,-2.2045421366571893e-07
TMWC10,-2.0106374738551592e-07
ATSC5pe,-1.824308081574237e-07
Sp,-1.7845492578790964e-07
ATS2are,-1.5394731839035724e-07
n4Ring,-1.5170948007969116e-07
VMcGowan,-1.4179419797304139e-07
SlogP_VSA11,-1.3352909934002607e-07
ATS7d,-1.3184065928368087e-07
NdO,-1.315655876130313e-07
